ОТДЕЛЕНИЕ;USD пок;USD прод;EUR пок;EUR прод;RUB пок;RUB прод
  Абсолютбанк г. Минск, пр. Независимости, 95  23:53;2.047;2.057;2.266;2.282;3.176;3.205
"  Абсолютбанк г. Минск, пр-т Независимости, 154 (ТЦ ""Корона"")  15:25";2.046;2.059;2.265;2.282;3.167;3.202
"  Абсолютбанк г. Минск, пр-т Независимости, 171 (БЦ ""Порт"")  23:53";2.047;2.057;2.266;2.282;3.176;3.205
"  Абсолютбанк г. Минск, Долгиновский тр-т, 188 (ТЦ ""Mile"")  15:25";2.046;2.059;2.265;2.282;3.167;3.202
  Абсолютбанк г.Минск, ул. Притыцкого, 77  23:53;2.047;2.057;2.266;2.282;3.176;3.205
  Абсолютбанк г. Минск, ул. Щорса,11  23:53;2.047;2.057;2.266;2.282;3.176;3.205
"  Абсолютбанк г. Минск, ул. Дунина-Марцинкевича, 11 (рынок ""Раковский кирмаш"")  15:25";2.046;2.059;2.265;2.282;3.167;3.202
"  Абсолютбанк г. Минск, пр-т Независимости, 177-6 (БЦ ""Порт"")  23:53";2.047;2.057;2.266;2.282;3.176;3.205
  Альфа-Банк г. Минск, пр. Независимости, 177  15:25;2.025;2.069;2.245;2.299;3.100;3.320
  Альфа-Банк г. Минск, ул. Филимонова, 22 - 130  15:25;2.025;2.069;2.245;2.299;3.100;3.320
  Альфа-Банк г. Минск, ул. Сурганова, 43  15:25;2.025;2.069;2.245;2.299;3.100;3.320
  Альфа-Банк г. Минск, пр-т Дзержинского, 1Е  15:25;2.025;2.069;2.245;2.299;3.100;3.320
  Альфа-Банк г. Минск, ул. Красноармейская, 36  15:25;2.025;2.069;2.245;2.299;3.100;3.320
  Альфа-Банк г. Минск, ул. Притыцкого, 97  15:25;2.025;2.069;2.245;2.299;3.100;3.320
  Альфа-Банк г.Минск, пр. Дзержинского,119  15:25;2.025;2.069;2.245;2.299;3.100;3.320
  Альфа-Банк г.Минск, пр. Независимости, 168/2  15:25;2.025;2.069;2.245;2.299;3.100;3.320
  Альфа-Банк г.Минск, Игуменский тракт, 20  15:25;2.025;2.069;2.245;2.299;3.100;3.320
  Альфа-Банк г.Минск, ул. Мясникова, 70  15:25;2.025;2.069;2.245;2.299;3.100;3.320
  Альфа-Банк г.Минск, ул. Притыцкого, 39  15:25;2.025;2.069;2.245;2.299;3.100;3.320
  Альфа-Банк г. Минск, пр-т Рокоссовского, 80  15:25;2.025;2.069;2.245;2.299;3.100;3.320
  Альфа-Банк г. Минск, пр. Независимости, 93  15:25;2.025;2.069;2.245;2.299;3.100;3.320
  Альфа-Банк г.Минск, ул. Красная, 7  15:25;2.025;2.069;2.245;2.299;3.100;3.320
  Альфа-Банк г. Минск, Логойский тракт, 10  15:25;2.025;2.069;2.245;2.299;3.100;3.320
  Банк БелВЭБ г. Минск, проспект Дзержинского, 91  23:57;2.030;2.079;2.220;2.290;3.130;3.240
  Банк БелВЭБ г. Минск, ул. Заславская, 10  23:57;2.030;2.079;2.220;2.290;3.130;3.240
  Банк БелВЭБ г. Минск, пер. Асаналиева, 2-3  23:57;2.030;2.079;2.220;2.290;3.130;3.240
  Банк БелВЭБ г. Минск, пр. Победителей, 100  23:58;2.030;2.079;2.220;2.290;3.130;3.240
  Банк БелВЭБ г. Минск, пр. Независимости, 54  23:57;2.030;2.079;2.220;2.290;3.130;3.240
  Банк БелВЭБ 223060 Минская обл., Минский р-н, д. Большой Тростенец, ул. Молодежная, 2А  23:57;2.030;2.079;2.220;2.290;3.130;3.240
  Банк БелВЭБ г. Минск, ул. Бабушкина, 39  23:58;2.030;2.079;2.220;2.290;3.130;3.240
  Банк БелВЭБ г. Минск, пр. Независимости, 95  23:57;2.030;2.079;2.220;2.290;3.130;3.240
"  Банк БелВЭБ г. Минск, просп. Партизанский, 150 А, ТЦ ""МОМО""  23:57";2.030;2.079;2.220;2.290;3.130;3.240
  Банк БелВЭБ г. Минск, ул. Московская, 13  23:57;2.030;2.079;2.220;2.290;3.130;3.240
  Банк БелВЭБ г. Минск, пр. Победителей, 29  23:57;2.030;2.079;2.220;2.290;3.130;3.240
  Банк БелВЭБ г, Минск, ул. Скрыганова, 6  23:57;2.030;2.079;2.220;2.290;3.130;3.240
  Банк БелВЭБ г. Минск, ул. П. Глебки д.5  23:57;2.030;2.079;2.220;2.290;3.130;3.240
  Банк БелВЭБ г. Минск, ул. Притыцкого,93  23:57;2.030;2.079;2.220;2.290;3.130;3.240
  Банк БелВЭБ г. Минск, ул. Якубова, 10  23:57;2.030;2.079;2.220;2.290;3.130;3.240
  Банк БелВЭБ г. Минск, ул. Мясникова, 32  23:57;2.030;2.079;2.220;2.290;3.130;3.240
  Банк БелВЭБ г. Минск, ул. Кульман, 3  23:57;2.030;2.079;2.220;2.290;3.130;3.240
  Банк БелВЭБ г. Минск, пр. Дзержинского, 91  23:57;2.030;2.079;2.220;2.290;3.130;3.240
  Банк ВТБ (Беларусь) г. Минск, ул. Московская, 14  15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) г.Минск, ул. Притыцкого, 91 15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) г.Минск, пр-т Независимости, 168-2  15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) г. Минск, пр-т Дзержинского, 119  15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) г.Минск, ул. Матусевича, 77-3  15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) г. Минск, ул. Гикало, 3 15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) г. Минск, ул. К. Цеткин, 51 15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) г. Минск, пр-т Независимости, 29  15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) Минская область, г.п. Колодищи, ул. Минская, 5 15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) г. Минск, ул. Богдановича, 70 15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) г. Минск, пр. Партизанский, 23 15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) г. Минск, пр-т Независимости, 202  15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) г. Минск, ул. Тимирязева 125/3  15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) г. Минск, ул. Тимирязева, 129/2 (Продовольственный центр)  15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) г. Минск, ул. Тимирязева, 123/2 (переход ТЦ Град)  15:25;2.030;2.065;2.240;2.290;3.120;3.220
"  Банк ВТБ (Беларусь) г. Минск, пересечение Логойского тракта и МКАД, (ТРЦ""Экспобел"")  15:25";2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) г.Минск, Партизанский пр-т 150А  15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк Дабрабыт ул. Коммунистическая, 49, пом.1 (рядом с гостиницей «Беларусь»)  15:25;2.035;2.060;2.250;2.285;3.155;3.220
"  Банк Дабрабыт ул. Владислава Голубка, 2 (ТЦ ""Бонус"")  15:25";2.030;2.065;2.245;2.288;3.005;3.205
  Банк Дабрабыт Ул. Сурганова, 50 (ТЦ «РИГА»)  15:25;2.030;2.065;2.245;2.288;3.005;3.205
