ОТДЕЛЕНИЕ;USD пок;USD прод;EUR пок;EUR прод;RUB пок;RUB прод;Получено
  Технобанк г. Минск, ул. Кульман, 21б  23:53;2.048;2.060;2.265;2.295;3.178;3.200;7491.0
  Абсолютбанк г. Минск, пр. Независимости, 95  23:53;2.047;2.057;2.266;2.282;3.176;3.205;7489.0
"  Франсабанк г.Минск, ул. Козлова, 2 (м-н ""Океан"")  15:25";2.046;2.054;2.265;2.278;3.175;3.200;7486.0
  БСБ Банк г. Минск, ул. Шафарнянская 11  15:26;2.044;2.055;2.265;2.284;3.174;3.216;7483.0
  БТА Банк г. Минск, ул. В. Хоружей, 20-2  08:53;2.043;2.056;2.270;2.285;3.165;3.200;7478.0
  РРБ-Банк г Минск, пр-т Независимости, 58  15:25;2.045;2.057;2.265;2.285;3.165;3.195;7475.0
  Идея Банк г. Минск, ул. Притыцкого, 97  15:25;2.044;2.060;2.265;2.282;3.165;3.300;7474.0
"  Технобанк г. Минск, ул. Каролинская 5а (""Виталюр"")  15:25";2.042;2.055;2.260;2.282;3.170;3.200;7472.0
  ТК Банк г. Минск, ул. Тимирязева 65А  15:25;2.040;2.060;2.260;2.280;3.170;3.185;7470.0
"  БНБ-Банк Минск, 31 км МКАД (Минский р-н, Щомыслинский с.с.п / у Западный, ТЭЦ-4); ул. Монтажников, 2  15:25";2.041;2.060;2.261;2.287;3.166;3.199;7468.0
